исправлять,corregir
лекарства,las pastillas
дерево,el árbol
шоппинг,shopping
парковка,el estacionamiento
фудкорт,el lugar de comer
бесплатно,son gratis/sin pago
ручка,la lapicera
рюкзак,la mochila
смешной,gracioso
с собой,conmigo
здесь,aquí/acá
замечательно,precioso
вкусный,rico
кондиционер,el aire
дождит,llueve
почти,casi
неважно,no importa
желать,tener ganas
красивый,bonito / lindo
там,allí / allá / ahí
видеть,ver
затем,después
холодильник,la nevera
уставший,cansado
женатый,casado
квартира,el departamento
продолжать,seguir
надевать,ponerse
помещать,poner
приносить,traer
футболка,una remera
до,antes de
штаны,el pantalón
платье,el vestido
после,después de
включать музыку,poner la música
физические упражнения,los ejercicios físicos
погода/время,el tiempo
значение слова,qué
спросить название,cuál
рождать,nacer
жители,los habitantes
мука,la harina
тесто,la masa
начиненный,rellena
песок,la arena
восток,el este
запад,el oeste
север,el norte
юг,el sur
приземляться,aterrizar
падать,caerse
жениться,casarse
"здороваться, ударяться",chocar
убегать,escaparse
терять,perder
жалеть,arrepentirse
влюбляться,enamorarse
вставать,levantarse
помнить,acordarse
просыпаться,despertarse
злиться,enojarse
наносить макияж,maquillarse
привыкать,acostumbrarse
оставаться дома,quedarse
одеваться,vestirse
порезаться,cortarse
бриться,afeitarse
обжечься,quemarse
иначе,de otra manera
записывать,tomar notas
схватил,te tengo
так что,así que
куртка,la campera
футболка,la remera
шорты,pantalones cortos
нижнее бельё,ropa interior
фен,secador de pelo
выходные,finde (fin de semana)
чемодан,la maleta
шарф,la bufanda
кепка,el gorro
рано,temprano
уродлив,feo
нож,el cuchillo
волноваться,preocuparse
кузен,el primo
племянник,el sobrino
внук,el nieto
умный,inteligente
общительный,sociable
толерантный,tolerante
терпеливый,paciente
искренний,sincero
щедрый,generoso
застенчивый,tímido
спокойный,tranquilo
старательный-сфокусированный-посвященный,dedicado
забавный (веселый),divertido
приятный,simpático
дружелюбный или любезный,amable
оптимист,optimista
шаловливый,revoltoso
ленивый,vago
холодный,frío
нетерпимый,intolerante
егоистичный,egoísta
агрессивный,agresivo
высокомерный,arrogante
нервный,nervioso
глупый,tonto
тупой,estúpido
безразличный,indiferente
жадный,tacaño
скучный,aburrido
болтливый,hablador
неприятный,antipático
рассеянный,despistado
пессимист,pesimista
молчать,callar
танцы,la danza
плюшевые игрушки,peluches
всё равно,me da/dan igual
тело,el cuerpo
голова,la cabeza
глаза,los ojos
рот,la boca
губы,los labios
шея,el cuello
плечи,los hombros
руки (не кисть),los brazos
живот,el abdomen / la barriga
кисть,la mano
желудок или внутренности,el estómago
ноги (не ступни),las piernas
ступни,los pies
колени,las rodillas
лодыжки,los tobillos
грудь,el pecho
грудь женская,las tetas
молочные железы,las mamas
спина,la espalda
пальцы,los dedos
усы,el bigote
борода,la barba
зад,el culo
подбородок,el mentón
брови,las cejas
веки,los párpados
талия,la cintura
ушная раковина,las orejas
внутреннее ухо,los oídos
подмышка,la axila
резцы,los dientes
жевательные зубы,las muelas
язык,la lengua
щека,el cachete
лоб,el frente
нёбо,el paladar
вагина,la vagina
пизда (ракушка),la concha
пенис,el pene
писюлек,el pito
хуй,la pija
лицо,la cara
укреплять,fortalecer
плавание,la natación
гребля,el remo
отжимания либо тренировка с собственным весом,las flexiones
мышцы,los músculos
болить,doler
кашель,la tos
температура,la fiebre
холодно,frío
жарко,calor
тошнит,náuseas
выглядеть больным,cara de enfermo
головокружение,mareado
запор/заболевший (в Испании),constipado
трахаться/брать (в Испании),coger
уставший,cansado
простудившийся,resfriado
чипсы,papitas
горло,la garganta
садиться,sentarse
удобный,cómodo
насморк,tener moco
лететь,volar
блевать,vomitar
тратить,gastar
пойти спать,ir a la cama
подарки,regalos
кстати,por cierto
быть должен сделать глагол,tener que + глагол
енот,el mapache
лиса,el zorro
хорошо,"cool, vale, dale, copado"
кататься на коньках,patinar
рисовать (графические материалы),dibujar
рисовать (масляные краски),pintar
вязать и ткать,tejer
рожать,dar a luz
малыш/малышка,nene/nena
сурок,la marmota
кукла,la muñeca
спешить,tener prisa
дата,la fecha
тяжкий,duro
очень (аргентинское),re muy
заниматься некоторое время,parar un rato
потом (без конкретного),luego/despues
после (чего-то конкретного) + инфинитив,después de
"до (того как, до события) + инфинитив",antes de
до времени,hasta la
правда,verdad
вчера вечером,anoche
сериал,serie
незнакомец,desconocido
подарок,regalo
когда-нибудь,alguna vez
о/про,sobre
переводить,traducir
приезжать,venir
"ДТП, случай",accidente
пожар,incendio
происходить (случай в моменте времени),producirse
раб,esclavo
поздная ночь/раннее утро,madrugada
ложиться,acostarse
сталкиваться,chocar
выиграть,ganar
"бой, поединок, борьба",pelea
взлетать,despegar
испортить,arruinar
отправить,mandar
перебрать (выпить много алкоголя),tomar demasiado alcohol
"приз, премия",premio
украсть,robar
сумочка,la cartera
рыба,el pez
снег,la nieve
падает снег (снежить),nevar
дождь,la lluvia
идет дождь (дождить),llover
борец,el luchador
бороться,luchar
спортсмен,el jugador
переезжать,mudarse
жаренная картошка,papas salteadas
жениться,casarse
сначала,al principio
морской лев,el lobo marino
волк,el lobo
омлет,huevos revueltos
крутить,revolver
консульство,el consulado
бедный,pobrecito
дурак/дура,boludo/boluda
кусать,morder
помнить,recordar
попытка,intento
кемпинг,el campamento
концерт,el recital
никогда не танцевал,no bailè nunca
переехать,trasladarse
поддерживать,apoyar
снова,de nuevo / de vuelta
борьба,la lucha
убивать,asesinar / matar
строгий,estricto
"при всех, прилюдно",delante
"пытаться, пробовать",intentar
медлить,tardar
гордый,orgulloso
мне стыдно когда,me da verguenza
мат,puteada / palabra mala
оставаться,quedar
"отвечать, опротестовать",contestar
зажиточный,acomodado
мечтать,soñar
дерёвня,el pueblo
стать кем-то,convertirse
предлагать,ofrecer
права,derechos
голосовать,votar
достигать,lograr
ласково,cariñosamente
несмотря на,a pesar de
оставлять,dejar
наследие,el legado
продолжительное,duradero
доброволец,el voluntario
преподавать,enseñar
всё еще,"aún, todavía"
родственник,el pariente
дальний,lejano
владеть языком,dominar
несмотря на это,sin embargo
признавать,reconocer
путать,confundir
стипендия,la beca
так что,así que
исследовать,descubrir
"угол (место, или угол в комнате)",el rincón
угол (пересечение улиц),la esquina
считать,opinar
насколько большая,qué tan granda
несчастный случай,el accidente
"испытание, челлендж",el reto
к тому же,aparte
очень много,muchísimo
нехватать,faltar
диван,el sillón
кресло,el sillón individual
журнальный столик,la mesita ratón
ковер,la alfombra
торшер,la lámpara (de pie)
люстра,luz con pantalla
ваза,el florero
книжный шкаф,la biblioteca de madera
картина,el cuadro
деревянный,madera
стеклянный,cristal
мрамор,mármol
железный,hierro
тканевый,tela
плетенный,mimbre
каменный,piedra
шкаф для одежды,el placard
кровать,la cama
посудомоечная машина,el lavavajillas
стиральная машина,el lavarropas
зеркало,el espejo
письменный стол,el escritorio
под,debajo de
над,sobre/encima de
за,detrás de
перед,delante de
между,entre
справа,a la derecha de
слева,a la izquierda de
сбоку рядом,al lado de
по центру,en el centro
внутри,dentro de
над,arriba de
табуретка/пуфик,banquito
убрать,sacar
добавить,agregar
разноцветный,de colores/colorinche
вешалка,el perchero
статуя,la estatua
ёлка,el árbol de navidad
олень,el venado
стена,la pared
корзинка,la canasta
вязать,tejer
одеяло,la manta
золотой,dorado
яркий,brillante
столешница,la mesada
полки (кухни),la alacena
сушилка,tender
тумбочка,la mesita de luz
остальное,lo demás
бензин,gas
самих,mismos
под себя на свой вкус,a medida
хранить,guardar
превратиться в,convertirse en
"представлять, воображать",imaginar
повседневная,cotidiana
"труд, произведение",obra
лодка,el barco
"пол, потолок",el techo
"широкий, просторный",amplio
расширить,ampliar
знания,los conocimientos
находиться,encontrarse
внутри,dentro
снаружи,fuera
окно в пол,el ventanal
в настоящее время,actualmente
отправить в ссылку,exiliar
дома в стиле Гранада,carmen de Granada
покидать,irse / marcharse
мэрия,el ayuntamiento
выглядеть,se ve
чаша,la taza
"покрывало, одеяло, плед",la manta
"газеты, журналы",periódicos
могут быть,puede haber
случай,el caso
прикладывать усилия,esforzarse
пещеры,calabozos
помимо,a parte de
отправляться,partir
выбирать,elegir / decidir
всё еще,todavía
флаг,la bandera
шар,el globo
черника,la arándana
смешивать,mezclar
соединять,juntar
кампания,la campaña
готовить несколько дней,tomar X días
гонка,la carrera
лицо,la cara
разбросать,dejar tirado
тестировать,testear
женские трусы,las bombachas
мужские трусы,los calzoncillos
носки,las medias
разнообразный,diferentes
гантели,las pesas
певец,el cantante
шить,coser
свадьба,la boda
прыгать,saltar
Лондон,Londres
удовольствие,el placer
дорога,la ruta
волна,la onda
болтать,charlar
следующей (ко времени относится),que viene
ложки,las cucharas
царапать,rayar
подчеркивать,subrayar
включать (enable),prender
шерсть,la lana
кожа,la piel
здоровый (healthy),sano
закончить с чем-то,acabar
абуз,maltrato
кормить,alimentar
бобовые,legumbres
вкладывать,aportan
согласно,según
цель,el objetivo
старый,viejo
ящерица,el lagarto
встречаться с друзьями/знакомыми,juntarse/encontrarse/verse
невысокие,los cerros
рабочие дни,los días laborables
настроение,el estado de ánimo
в это время,a esa hora
каждые два дня,una vez cada dos días
встреча,el encuentro
красивый,guapo
вернуть (что-то),devolver
рядом,junto a
тот же самый,el mismo
до скорого,hasta pronto
Сейчас,Ahora
Как,Como
Начинать,emrezar
Считать (думать),Pensar
Кит,Ballena
Выигрывать,Ganar
Тоже,Tambien
Сухой,seco
Верно,Exacamente
Верно,cierto
Верно,aci es
Заканчивать,Terminar
Без понятия,Ni idea
Тоже нет,Tampoco
Никак,Nada de
Никогда,Nunca
Редко,Raramente | Rara vez
Нормально,Normal
Немного,Un poco
Достаточно,Bastante
всегда,siempre
часто,seguido
иногда,a veces
почти,casi
Сегодня,Hoy
Здесь,acá
Аналогично/Взаимо,Igualmente
Лучше,Mejor
Восхитительно,Estupendo
Окей,Dale
Ну/хорошо,Bueno
"Так точно, верно",Cierto
Карта,Tarjeta
Имя/название,Nombre
Комната,Cuarto
Стол,Mesa
Цель,Meta
Страна,Pais
Яблоко,Manzana
сестра,Hermana
глаголы,Verbos
Домашний питомец,Mascota
Домработница,Limpiadora
Переводчик,Traductor
Домохозяйка,Ama de casa
Стюардесса,Tripulante de cabina
Медбрат,Enfermero
Официант,Mesero
Официант,Mozo
Служащий,Empleado
Предприниматель,Empresario
Ученый,Científico
Бухгалтер,Contador
Адвокат,Abogado
Билет,Pasaje
Месяц,Mes
Земля,Terra
Мобильный телефон,Celular
Возраст,Edad
Почта,Correo
мой,mi
мои,mis
твой,tu
твои,tus
наш,nuestro
наша,nuestra
наши,nuestros
наши (жен),nuestras
"его, ее, их, ваша",su
"его, ее, их, ваша (множ)",sus
Сколько стоит?,Cuento cuesta
Сколько стоит?,Cuánto sale
Сколько стоит?,Cuánto esta
Улица,Calle
Никто,Nadie
Социальные сети,Redes sociales
Адрес/направление,Dirección
Исход/начало,Origen
Национальность/гражданство,Nacionalidad
Пытка,Tortura
Во сколько,A que hora?
Звать/звонить,Llamar
Каждый,Todos los
Массажист,Masajista
Студенты,Estudiante
Школа,Colegio
Автомобиль,Auto
Мастерская/мастер-клас,Taller
Место,Lugar
Вход / входные билеты,Entrada
Вещь,Cosa
Компания,Empresa
Бутерброд,Emparedado
Обед,Almuerzo
Еда,Comida
Завтрак,Desayuno
Ужин,Cena
Наличные,Efectivo
День,Dia
Круассан,Medialuna
Быть (длительно),Ser
Быть (временно),Estar
Иметь,Tener
понимать,entender
понимать,comprenter
худеть,adelgazar
мочь (иметь возможность),poder
видеть,ver
делать,hacer
жить,Vivir
Наслаждаться,Disfrutar
Жить (временно),Alojarse
Иметь,Tener
Преподавать,Enseñar
Уметь,Poder
Искать,Buscar
Покупать,Comprar
Танцевать,Bailar
Помогать,Ayudar
Улучшать,Mejorar
Платить,Abonar
Целовать,Besar
Любить,Amar
Проходить,Pasar
Плавать,Nadar
Курить,Fumar
Договариваться/чинить,Arreglar
Путешествовать,Viajar
Говорить,Hablar
Просить,Preguntar
Учиться (в заведении),Estudiar
Работать,Trabajar
Есть,Comer
Открывать,abrir
Здесь,acà
Бежать,correr
Разрешать,permitir
Петь,cantar
Трогать/играть на инструменте,tocar
лето,verano
слушать,escuchar
Пить,Tomar
Готовить,Preparar
Помогать,Ayudar
Странный,Raro
прошедшее,Preterito
Красивый,Lindo
Маленький,Pequeño
Симпатичный,SimpAtico
Застеничивый,TImido
Плохой,Malo
Хороший,Bueno
Занятый,Ocupado
Нервный,Nervioso
Простуженный,Resfriado
Сердитый,Enfadado/Enojado
Обеспокоенный,Preocupada
Грустный,Triste
Гордый,Orgulloso
Стеснительный,Avegonzado
Разочарованный,Decepcionado
Испуганный,Asustado
Влюбленный,Enamorado
Больной,Enfermo
Скучающий,Aburrido
Удивленный,Sorprendido
Усталый,Cansado
Веселый,Contento
Веселый,Feliz
злой,enojado
Высокий,alto
несовершенное,imperfecto
совершенное,perfecto
"Говорите, слушаю Вас",Dime
"тыква, кабачок",zapallo
Колбасы,salchicha
Сливочное масло,Manteca
болгарский перец,morrón
чеснок,ajo
кукуруза,choclo/maiz
баклажан,berenjena
лук,cebolla
Я,Yo
свекла,remolacha
авокадо,palta
картошка,papa
морковь,zanahoria
Ты/Вы(уважительно),Vós
"черника, лесные ягоды",arandanos
черешня и вишня,cerezas
Ягоды,Frutas del bosque
виноград,uvas
Орехи,Frutos secos
Он/Она,El/Ella
Мы,Nosotros
Они (муж. род) / Они (жен. род) / Вы (множественное),Ellos/Ellas/Ustedes
Чашка,Taza
Ручка,Lapicera
Тетрадь,Cuaderno
Кто,Quien
Растение,Planta
Губная помада,Labial
Где,Donde
Наушники,Auriculares
Это,esto
То,eso
В,En
Половина,Media
Час,Hora
Зима,invierno
В сторону,A
Из,De
Откуда ты?,De dónde sos
Хочу пить,Tener sed
Xочу спать,Tener sueño
Хотеть есть,Tener hambre
Жарко,Tener calor
Холодно,Tener frio
Фигово (через задницу),Para el culo
мне сложно,me cuesta
только это,solo eso
что еще,algo mas
Вот это все,todo esto
Как дела?,Сomo andas
Увидимся,Nos vemos
К сожалению,Lamentablemente
Заниматься спортом,hacer deporte
Выходить гулять ночью,salir de noche
Выход,salida
Гулять,pasear
Прибираться,acomodar
Выходить на ужин,salir a cenar
Фотографироваться,sacar fotos
Уикенд,finde
Выходить за покупками,ir de shopping
уезжать в путешествие,salir de viaje
Играть в футбол,jugar al fútbol
Плавать в бассейне,nadar en la pillеta
Спать,dormir
Вчера,ayer
Мало,poco
болтать,chater
бессоница,insomnia
маршрутный автобус,colectivo
грецкие орехи,nueces
приходить/прибывать,venir
мне нужно,necesito
последний,ultimo
неделя,semana
фильм,pelicula
истории,Relatos
безумный,salvajo
Один,uno
Два,dos
Три,Tres
Четыре,Cuatro
Пять,Cinco
Шесть,Seis
Семь,Siete
Восемь,Ocho
Девять,Nueve
Десять,Diez
Самолет,Aviòn
Одиннадцать,Once
Двенадцать,Doce
Триннадцать,Trece
Четырнадцать,Catorce
Пятнадцать,Quince
Шестнадцать,Dieciseis
Cемнадцать,Diecisiete
Восемнадцать,Dieciocho
Девятнадцать,Diecinueve
Двадцать,Veinte
Тридцать,Treinta
Сорок,Cuarenta
Пятьдесят,Cincuenta
Шестьдесят,Sesenta
Восемьдесят,Ochenta
Девяносто,Noventa
Сто,Cien
Двести,doscientos
Триста,trescientos
Четыреста,quinientos
Пятьсот,setecientos
Восемьсот,novecienots
Тысяча,mil
Миллион,un millon
Крокодило,Cocodrilo
Стакан,Vaso
Диван,Sofa
Пляж,Playa
Смотреть,Ver
Мясо,Carne
Читать,Leer
Добавлять,añadir
"Полагать, верить",Creer
"Знать, владеть",Saber
Лыжи,esquiar
Темный,moreno
Ломать,romper
Получать,recibir
Продавать,vender
Перебивать,interrumpir
"Водить машину, управлять",manejar
Отвечать,responder
Магазин,tienda
Посылка,paquete
письмо,carta
использовать,usar
грузовик,camion
шофер,chofer
сломанный,roto
кисть,mano
машина,coche
народ,gente
стул,silla
праздник,fiesta
дневной сон,siesta
бутылка,botella
клубника,frutilla
огурец,pepino
шкаф,armario
окно,ventana
овощная лавка,verduleria
нехватать,faltar
"милый, сладкий, нежный",tierna
делиться,compartir
часто,frecuentemente
забывать,olvidar
больше всего,mas que nada
волосы,pelo